quantity,numeric_real,numeric_imag,lo_full_real,lo_full_imag,relerr_full,lo_available_real,lo_available_imag,relerr_available
h30,6.902532920683853e-31,4.6193380022777924e-08,0.0,4.664423691341945e-08,0.00966586486297125,0.0,4.664423691341945e-08,0.00966586486297125
"(3, 1)",8.44109890557956e-10,-1.8703711520448545e-11,8.775545090510111e-10,-1.6480723917276758e-11,0.038188517973079025,8.554221579794785e-10,-1.6065072053047126e-11,0.013576783374526434
"(3, 3)",-1.1023516079437752e-10,6.656763909821805e-12,-1.1325455662694282e-10,6.386866356853753e-12,0.026724096480712143,-1.1815583573908253e-10,6.6632686103188295e-12,0.06692951366310443
"(5, 1)",4.5639955262342635e-12,-1.0314201583088353e-13,5.0083448377485456e-12,-9.405814419746095e-14,0.0887246806980258,4.6606458608295184e-12,-8.752825826351607e-14,0.02100269935027785
"(5, 3)",-1.9263211596549968e-12,1.1740850704984243e-13,-1.930996107259772e-12,1.0889640505412583e-13,0.005021232380132115,-2.154417144463382e-12,1.214959891099751e-13,0.10572265793412658
"(5, 5)",1.2637358203329032e-11,-1.241471004230522e-12,1.345071161643242e-11,-1.2666166406970654e-12,0.060231603055357734,1.345071161643242e-11,-1.2666166406970654e-12,0.060231603055357734
